"twitterUserId","profile","display_name","location","profile_card","join_date","followers_count","following_count","likes_count","tweets_count","checktime"
"11758542","aaroni","A-A-Ron (He/Him)","Atlantic Highlands, NJ","Aka Ron, AKA Cubano Magnifico... Lover of food, baseball, @onepeloton & fast music. Sr. Director of Design at @capitalone, Co-author of Discussing Design","2008-01-02 15:38:03","8395","1194","15975","65200","2022-01-29 00:00:07"
"11758542","aaroni","A-A-Ron (He/Him)","Atlantic Highlands, NJ","Aka Ron, AKA Cubano Magnifico... Lover of food, baseball, @onepeloton & fast music. Sr. Director of Design at @capitalone, Co-author of Discussing Design","2008-01-02 15:38:03","8396","1194","15976","65202","2022-01-30 00:00:04"
"11758542","aaroni","A-A-Ron (He/Him)","Atlantic Highlands, NJ","Aka Ron, AKA Cubano Magnifico... Lover of food, baseball, @onepeloton & fast music. Sr. Director of Design at @capitalone, Co-author of Discussing Design","2008-01-02 15:38:03","8397","1194","15976","65202","2022-01-31 00:00:04"
"408898240","THEAdamGabriel","Adam Gabriel, #TOP🔝 #Influencer📡","Financial District, Manhattan","#AI🤖#Expert🤓#MachineLearning #Engineer👨🏻‍💻#Passionate💜 4 @IBMWatson #DeepLearning💬#NeuralNetwork🧠#Drones🚁#IoT📱#VR🥽#Tech💻#Sales💰#Polyglot🇫🇷🇪🇬","2011-11-10 01:20:50","19959","291","15930","36232","2022-01-01 00:00:06"
"408898240","THEAdamGabriel","Adam Gabriel, #TOP🔝 #Influencer📡","Financial District, Manhattan","#AI🤖#Expert🤓#MachineLearning #Engineer👨🏻‍💻#Passionate💜 4 @IBMWatson #DeepLearning💬#NeuralNetwork🧠#Drones🚁#IoT📱#VR🥽#Tech💻#Sales💰#Polyglot🇫🇷🇪🇬","2011-11-10 01:20:50","19959","291","15930","36232","2022-01-02 00:00:06"
"408898240","THEAdamGabriel","Adam Gabriel, #TOP🔝 #Influencer📡","Financial District, Manhattan","#AI🤖#Expert🤓#MachineLearning #Engineer👨🏻‍💻#Passionate💜 4 @IBMWatson #DeepLearning💬#NeuralNetwork🧠#Drones🚁#IoT📱#VR🥽#Tech💻#Sales💰#Polyglot🇫🇷🇪🇬","2011-11-10 01:20:50","19959","291","15930","36232","2022-01-03 00:00:05"
"408898240","THEAdamGabriel","Adam Gabriel, #TOP🔝 #Influencer📡","Financial District, Manhattan","#AI🤖#Expert🤓#MachineLearning #Engineer👨🏻‍💻#Passionate💜 4 @IBMWatson #DeepLearning💬#NeuralNetwork🧠#Drones🚁#IoT📱#VR🥽#Tech💻#Sales💰#Polyglot🇫🇷🇪🇬","2011-11-10 01:20:50","19961","291","15930","36232","2022-01-04 00:00:06"
"408898240","THEAdamGabriel","Adam Gabriel, #TOP🔝 #Influencer📡","Financial District, Manhattan","#AI🤖#Expert🤓#MachineLearning #Engineer👨🏻‍💻#Passionate💜 4 @IBMWatson #DeepLearning💬#NeuralNetwork🧠#Drones🚁#IoT📱#VR🥽#Tech💻#Sales💰#Polyglot🇫🇷🇪🇬","2011-11-10 01:20:50","19918","291","15930","36232","2022-01-05 00:00:06"
"408898240","THEAdamGabriel","Adam Gabriel, #TOP🔝 #Influencer📡","Financial District, Manhattan","#AI🤖#Expert🤓#MachineLearning #Engineer👨🏻‍💻#Passionate💜 4 @IBMWatson #DeepLearning💬#NeuralNetwork🧠#Drones🚁#IoT📱#VR🥽#Tech💻#Sales💰#Polyglot🇫🇷🇪🇬","2011-11-10 01:20:50","19958","292","15930","36232","2022-01-06 00:00:07"
"408898240","THEAdamGabriel","Adam Gabriel, #TOP🔝 #Influencer📡","Financial District, Manhattan","#AI🤖#Expert🤓#MachineLearning #Engineer👨🏻‍💻#Passionate💜 4 @IBMWatson #DeepLearning💬#NeuralNetwork🧠#Drones🚁#IoT📱#VR🥽#Tech💻#Sales💰#Polyglot🇫🇷🇪🇬","2011-11-10 01:20:50","19951","292","15930","36232","2022-01-07 00:00:07"
"408898240","THEAdamGabriel","Adam Gabriel, #TOP🔝 #Influencer📡","Financial District, Manhattan","#AI🤖#Expert🤓#MachineLearning #Engineer👨🏻‍💻#Passionate💜 4 @IBMWatson #DeepLearning💬#NeuralNetwork🧠#Drones🚁#IoT📱#VR🥽#Tech💻#Sales💰#Polyglot🇫🇷🇪🇬","2011-11-10 01:20:50","19952","292","15929","36231","2022-01-08 00:00:08"
"408898240","THEAdamGabriel","Adam Gabriel, #TOP🔝 #Influencer📡","Financial District, Manhattan","#AI🤖#Expert🤓#MachineLearning #Engineer👨🏻‍💻#Passionate💜 4 @IBMWatson #DeepLearning💬#NeuralNetwork🧠#Drones🚁#IoT📱#VR🥽#Tech💻#Sales💰#Polyglot🇫🇷🇪🇬","2011-11-10 01:20:50","19946","291","15929","36231","2022-01-09 00:00:07"
"408898240","THEAdamGabriel","Adam Gabriel, #TOP🔝 #Influencer📡","Financial District, Manhattan","#AI🤖#Expert🤓#MachineLearning #Engineer👨🏻‍💻#Passionate💜 4 @IBMWatson #DeepLearning💬#NeuralNetwork🧠#Drones🚁#IoT📱#VR🥽#Tech💻#Sales💰#Polyglot🇫🇷🇪🇬","2011-11-10 01:20:50","19943","291","15928","36231","2022-01-10 00:00:06"
"408898240","THEAdamGabriel","Adam Gabriel, #TOP🔝 #Influencer📡","Financial District, Manhattan","#AI🤖#Expert🤓#MachineLearning #Engineer👨🏻‍💻#Passionate💜 4 @IBMWatson #DeepLearning💬#NeuralNetwork🧠#Drones🚁#IoT📱#VR🥽#Tech💻#Sales💰#Polyglot🇫🇷🇪🇬","2011-11-10 01:20:50","19940","292","15928","36231","2022-01-11 00:00:06"
